STATION,PERIOD,RIDERS_PER_WEEKDAY
Addison Road,AM Peak,1918.8666666666668
Addison Road,Evening,178.85833333333335
Addison Road,Late Night Peak,4.408333333333333
Addison Road,Midday,716.9500000000002
Addison Road,PM Peak,332.4916666666666
Anacostia,AM Peak,2841.316666666666
Anacostia,Evening,478.7166666666667
Anacostia,Late Night Peak,14.225
Anacostia,Midday,1910.658333333333
Anacostia,PM Peak,1667.175
Archives-Navy Memorial,AM Peak,370.9083333333333
Archives-Navy Memorial,Evening,1251.5
Archives-Navy Memorial,Late Night Peak,28.174999999999997
Archives-Navy Memorial,Midday,1476.1833333333332
Archives-Navy Memorial,PM Peak,5506.125
Arlington Cemetery,AM Peak,17.316666666666666
Arlington Cemetery,Evening,92.30833333333334
Arlington Cemetery,Late Night Peak,0.9375
Arlington Cemetery,Midday,701.025
Arlington Cemetery,PM Peak,549.1083333333333
Ballston,AM Peak,4392.058333333333
Ballston,Evening,1007.7416666666667
Ballston,Late Night Peak,23.2
Ballston,Midday,2040.1666666666663
Ballston,PM Peak,3611.033333333334
Benning Road,AM Peak,1486.7833333333335
Benning Road,Evening,198.75
Benning Road,Late Night Peak,6.400000000000002
Benning Road,Midday,770.7666666666668
Benning Road,PM Peak,440.0083333333334
Bethesda,AM Peak,3085.2666666666664
Bethesda,Evening,1276.1083333333333
Bethesda,Late Night Peak,30.5
Bethesda,Midday,1927.3916666666662
Bethesda,PM Peak,3725.208333333334
Braddock Road,AM Peak,2652.5416666666665
Braddock Road,Evening,247.73333333333335
Braddock Road,Late Night Peak,5.433333333333334
Braddock Road,Midday,741.9250000000002
Braddock Road,PM Peak,897.275
Branch Avenue,AM Peak,4259.708333333333
Branch Avenue,Evening,184.0916666666667
Branch Avenue,Late Night Peak,3.1666666666666665
Branch Avenue,Midday,829.15
Branch Avenue,PM Peak,477.01666666666665
Brookland,AM Peak,2177.8916666666664
Brookland,Evening,659.2333333333332
Brookland,Late Night Peak,13.325000000000001
Brookland,Midday,1554.5083333333334
Brookland,PM Peak,2066.375
Capitol Heights,AM Peak,1151.7333333333333
Capitol Heights,Evening,108.00833333333333
Capitol Heights,Late Night Peak,3.5999999999999996
Capitol Heights,Midday,448.98333333333335
Capitol Heights,PM Peak,230.95833333333334
Capitol South,AM Peak,848.9
Capitol South,Evening,930.3416666666667
Capitol South,Late Night Peak,8.708333333333334
Capitol South,Midday,1628.0166666666667
Capitol South,PM Peak,4034.225
Cheverly,AM Peak,831.4833333333332
Cheverly,Evening,52.6
Cheverly,Late Night Peak,1.45
Cheverly,Midday,226.21666666666667
Cheverly,PM Peak,144.20000000000002
Clarendon,AM Peak,1916.75
Clarendon,Evening,734.7750000000001
Clarendon,Late Night Peak,92.86666666666667
Clarendon,Midday,820.0416666666666
Clarendon,PM Peak,1029.925
Cleveland Park,AM Peak,2082.525
Cleveland Park,Evening,404.5583333333332
