STATION,RIDERS_PER_WEEKDAY
Addison Road,39033.7
Anacostia,85891.99999999999
Archives-Navy Memorial,104969.70000000001
Arlington Cemetery,15666.5
Ballston,136996.7
Benning Road,36704.5
Bethesda,125401.69999999998
Braddock Road,53961.799999999996
Branch Avenue,74396.2
Brookland,79374.0
Capitol Heights,24126.5
Capitol South,93025.1
Cheverly,16978.7
Clarendon,55126.700000000004
Cleveland Park,52059.00000000001
College Park-U of MD,53320.1
Columbia Heights,147297.2
Congress Heights,31787.700000000004
Court House,90117.40000000001
Crystal City,140709.0
Deanwood,19082.800000000003
Dunn Loring,58336.5
Dupont Circle,241179.9
East Falls Church,48856.7
Eastern Market,70783.5
Eisenhower Avenue,21344.9
Farragut North,289834.6
Farragut West,262848.6
Federal Center SW,63038.20000000001
Federal Triangle,100316.2
Foggy Bottom,242889.69999999998
Forest Glen,27564.8
Fort Totten,89826.3
Franconia-Springfield,93276.29999999999
Friendship Heights,110159.0
Gallery Place-Chinatown,303793.1
Georgia Avenue-Petworth,73086.1
Glenmont,71817.2
Greenbelt,74675.2
Greensboro,4847.900000000001
Grosvenor,66258.0
Huntington,95437.99999999999
Judiciary Square,105367.50000000001
King St-Old Town,102868.0
L'Enfant Plaza,230770.3
Landover,23750.8
Largo Town Center,57280.59999999999
McLean,7608.3
McPherson Square,187047.2
Medical Center,70450.1
Metro Center,321102.39999999997
Minnesota Avenue,34321.2
Morgan Blvd.,25597.499999999996
Mt. Vernon Square-UDC,52302.9
Navy Yard-Ballpark,99527.50000000001
Naylor Road,34535.7
New Carrollton,103073.50000000001
NoMa-Gallaudet U,103103.1
Pentagon,182405.90000000002
Pentagon City,176038.49999999997
Potomac Avenue,44133.7
Prince George's Plaza,58926.6
Reagan Washington National Airport,74068.8
Rhode Island Avenue,68789.7
Rockville,54651.1
Rosslyn,180287.90000000002
Shady Grove,150589.6
Shaw-Howard University,61395.399999999994
Silver Spring,149126.5
Smithsonian,126806.5
Southern Avenue,60323.1
Spring Hill,6712.700000000001
Stadium-Armory,34728.9
Suitland,64886.00000000001
Takoma,65207.799999999996
Tenleytown-AU,81773.5
Twinbrook,51472.79999999999
Tysons Corner,15562.3
U Street-Cardozo,89138.3
Union Station,372244.5
Van Dorn Street,38897.1
Van Ness-UDC,76752.6
Vienna,142255.7
Virginia Square-GMU,44829.700000000004
Waterfront,47330.7
West Falls Church,85894.40000000002
West Hyattsville,45325.700000000004
Wheaton,48492.100000000006
White Flint,44660.7
Wiehle,42460.1
Woodley Park-Zoo,85740.6
