,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
5619,201601,Arlington Cemetery,353.9
5710,201602,Arlington Cemetery,362.7
5687,201601,Spring Hill,929.6
5655,201601,Greensboro,960.4
5628,201601,Cheverly,1018.7
5778,201602,Spring Hill,1042.4
5746,201602,Greensboro,1079.1
5719,201602,Cheverly,1152.8
5636,201601,Deanwood,1244.2
5641,201601,Eisenhower Avenue,1305.2
5727,201602,Deanwood,1346.7
5661,201601,Landover,1468.6
5732,201602,Eisenhower Avenue,1485.8
5663,201601,McLean,1499.9
5754,201602,McLean,1562.2
5668,201601,Morgan Blvd.,1611.0
5752,201602,Landover,1667.2
5626,201601,Capitol Heights,1693.4
5759,201602,Morgan Blvd.,1848.7
5717,201602,Capitol Heights,1893.4
5647,201601,Forest Glen,2009.4
5667,201601,Minnesota Avenue,2068.5
5633,201601,Congress Heights,2153.6
5671,201601,Naylor Road,2188.0
5688,201601,Stadium-Armory,2229.7
5738,201602,Forest Glen,2230.3
5701,201601,West Falls Church,2310.0
5758,201602,Minnesota Avenue,2387.2
5779,201602,Stadium-Armory,2430.3
5724,201602,Congress Heights,2430.5
5621,201601,Benning Road,2445.3
5762,201602,Naylor Road,2471.3
5693,201601,Tysons Corner,2510.4
5616,201601,Addison Road,2531.9
5792,201602,West Falls Church,2715.3
5712,201602,Benning Road,2823.3
5696,201601,Van Dorn Street,2823.8
5784,201602,Tysons Corner,2857.4
5787,201602,Van Dorn Street,2970.1
5707,201602,Addison Road,2971.2
5702,201601,West Hyattsville,3065.5
5631,201601,College Park-U of MD,3116.8
5676,201601,Potomac Avenue,3246.7
5704,201601,White Flint,3318.6
5699,201601,Virginia Square-GMU,3365.1
5703,201601,Wheaton,3387.4
5793,201602,West Hyattsville,3402.2
5639,201601,East Falls Church,3405.1
5767,201602,Potomac Avenue,3634.6
5692,201601,Twinbrook,3637.2
