,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
5616,201601,Addison Road,2531.9
5617,201601,Anacostia,5959.8
5618,201601,Archives-Navy Memorial,6982.2
5619,201601,Arlington Cemetery,353.9
5620,201601,Ballston,9722.7
5621,201601,Benning Road,2445.3
5622,201601,Bethesda,8990.9
5623,201601,Braddock Road,4298.4
5624,201601,Branch Avenue,4716.8
5625,201601,Brookland,5700.5
5626,201601,Capitol Heights,1693.4
5627,201601,Capitol South,5788.5
5628,201601,Cheverly,1018.7
5629,201601,Clarendon,4084.5
5630,201601,Cleveland Park,3694.6
5631,201601,College Park-U of MD,3116.8
5632,201601,Columbia Heights,11075.1
5633,201601,Congress Heights,2153.6
5634,201601,Court House,6334.3
5635,201601,Crystal City,9404.3
5636,201601,Deanwood,1244.2
5637,201601,Dunn Loring,3650.1
5638,201601,Dupont Circle,16597.1
5639,201601,East Falls Church,3405.1
5640,201601,Eastern Market,5096.8
5641,201601,Eisenhower Avenue,1305.2
5642,201601,Farragut North,21596.2
5643,201601,Farragut West,18297.8
5644,201601,Federal Center SW,4694.8
5645,201601,Federal Triangle,6257.5
5646,201601,Foggy Bottom,17861.0
5647,201601,Forest Glen,2009.4
5648,201601,Fort Totten,6620.1
5649,201601,Franconia-Springfield,6061.3
5650,201601,Friendship Heights,7916.7
5651,201601,Gallery Place-Chinatown,22386.3
5652,201601,Georgia Avenue-Petworth,5616.7
5653,201601,Glenmont,5180.1
5654,201601,Greenbelt,4968.8
5655,201601,Greensboro,960.4
5656,201601,Grosvenor,4887.2
5657,201601,Huntington,6146.0
5658,201601,Judiciary Square,7414.2
5659,201601,King St-Old Town,6349.2
5660,201601,L'Enfant Plaza,16508.4
5661,201601,Landover,1468.6
5662,201601,Largo Town Center,3641.2
5663,201601,McLean,1499.9
5664,201601,McPherson Square,12551.1
5665,201601,Medical Center,4943.2
5666,201601,Metro Center,21568.6
5667,201601,Minnesota Avenue,2068.5
5668,201601,Morgan Blvd.,1611.0
5669,201601,Mt. Vernon Square-UDC,4651.3
5670,201601,Navy Yard-Ballpark,5888.3
5671,201601,Naylor Road,2188.0
5672,201601,New Carrollton,6127.2
5673,201601,NoMa-Gallaudet U,7732.4
5674,201601,Pentagon,12412.3
5675,201601,Pentagon City,10999.8
5676,201601,Potomac Avenue,3246.7
5677,201601,Prince George's Plaza,3880.4
5678,201601,Reagan Washington National Airport,5051.6
5679,201601,Rhode Island Avenue,5040.1
5680,201601,Rockville,3637.3
5681,201601,Rosslyn,11972.2
5682,201601,Shady Grove,10074.6
5683,201601,Shaw-Howard University,4496.8
5684,201601,Silver Spring,10712.1
5685,201601,Smithsonian,6119.9
5686,201601,Southern Avenue,4134.7
5687,201601,Spring Hill,929.6
5688,201601,Stadium-Armory,2229.7
5689,201601,Suitland,4334.9
5690,201601,Takoma,4650.9
5691,201601,Tenleytown-AU,5836.4
5692,201601,Twinbrook,3637.2
5693,201601,Tysons Corner,2510.4
5694,201601,U Street-Cardozo,6134.5
5695,201601,Union Station,25384.9
5696,201601,Van Dorn Street,2823.8
5697,201601,Van Ness-UDC,5511.4
5698,201601,Vienna,8263.7
5699,201601,Virginia Square-GMU,3365.1
5700,201601,Waterfront,3647.1
5701,201601,West Falls Church,2310.0
5702,201601,West Hyattsville,3065.5
5703,201601,Wheaton,3387.4
5704,201601,White Flint,3318.6
5705,201601,Wiehle,6228.1
5706,201601,Woodley Park-Zoo,4865.5
5707,201602,Addison Road,2971.2
5708,201602,Anacostia,6799.1
5709,201602,Archives-Navy Memorial,7829.4
5710,201602,Arlington Cemetery,362.7
5711,201602,Ballston,10759.1
5712,201602,Benning Road,2823.3
5713,201602,Bethesda,9883.0
5714,201602,Braddock Road,4542.8
5715,201602,Branch Avenue,5448.7
5716,201602,Brookland,6323.8
5717,201602,Capitol Heights,1893.4
5718,201602,Capitol South,6956.6
5719,201602,Cheverly,1152.8
5720,201602,Clarendon,4423.0
5721,201602,Cleveland Park,3960.9
5722,201602,College Park-U of MD,4067.7
5723,201602,Columbia Heights,11840.4
5724,201602,Congress Heights,2430.5
5725,201602,Court House,7074.4
5726,201602,Crystal City,11479.8
5727,201602,Deanwood,1346.7
5728,201602,Dunn Loring,4081.4
5729,201602,Dupont Circle,18653.1
5730,201602,East Falls Church,3912.6
5731,201602,Eastern Market,5499.9
5732,201602,Eisenhower Avenue,1485.8
5733,201602,Farragut North,24597.0
5734,201602,Farragut West,20917.1
5735,201602,Federal Center SW,5697.2
5736,201602,Federal Triangle,7381.4
5737,201602,Foggy Bottom,20120.8
5738,201602,Forest Glen,2230.3
5739,201602,Fort Totten,7542.5
5740,201602,Franconia-Springfield,6820.9
5741,201602,Friendship Heights,8503.0
5742,201602,Gallery Place-Chinatown,25537.3
5743,201602,Georgia Avenue-Petworth,6150.6
5744,201602,Glenmont,5880.5
5745,201602,Greenbelt,5737.7
5746,201602,Greensboro,1079.1
5747,201602,Grosvenor,5205.5
5748,201602,Huntington,7002.0
5749,201602,Judiciary Square,8722.2
5750,201602,King St-Old Town,7237.6
5751,201602,L'Enfant Plaza,19342.6
5752,201602,Landover,1667.2
5753,201602,Largo Town Center,4434.5
5754,201602,McLean,1562.2
5755,201602,McPherson Square,14340.0
5756,201602,Medical Center,5591.2
5757,201602,Metro Center,24329.8
5758,201602,Minnesota Avenue,2387.2
5759,201602,Morgan Blvd.,1848.7
5760,201602,Mt. Vernon Square-UDC,4242.5
5761,201602,Navy Yard-Ballpark,6834.4
5762,201602,Naylor Road,2471.3
5763,201602,New Carrollton,7209.3
5764,201602,NoMa-Gallaudet U,9037.5
5765,201602,Pentagon,14584.2
5766,201602,Pentagon City,12557.9
5767,201602,Potomac Avenue,3634.6
5768,201602,Prince George's Plaza,4384.6
5769,201602,Reagan Washington National Airport,5630.5
5770,201602,Rhode Island Avenue,5726.5
5771,201602,Rockville,4244.7
5772,201602,Rosslyn,13666.4
5773,201602,Shady Grove,11732.0
5774,201602,Shaw-Howard University,4989.0
5775,201602,Silver Spring,12269.4
5776,201602,Smithsonian,7148.5
5777,201602,Southern Avenue,4751.2
5778,201602,Spring Hill,1042.4
5779,201602,Stadium-Armory,2430.3
5780,201602,Suitland,4917.8
5781,201602,Takoma,5329.4
5782,201602,Tenleytown-AU,6586.6
5783,201602,Twinbrook,4163.2
5784,201602,Tysons Corner,2857.4
5785,201602,U Street-Cardozo,6671.4
5786,201602,Union Station,29370.6
5787,201602,Van Dorn Street,2970.1
5788,201602,Van Ness-UDC,6158.3
5789,201602,Vienna,10005.0
