STATION,PERIOD,RIDERS_PER_WEEKDAY
Addison Road,AM Peak,23613.6
Addison Road,Evening,2307.2000000000003
Addison Road,Late Night Peak,67.00000000000001
Addison Road,Midday,8959.5
Addison Road,PM Peak,4168.7
Anacostia,AM Peak,34720.799999999996
Anacostia,Evening,6318.3
Anacostia,Late Night Peak,188.1
Anacostia,Midday,23383.5
Anacostia,PM Peak,21281.5
Archives-Navy Memorial,AM Peak,4447.1
Archives-Navy Memorial,Evening,15332.3
Archives-Navy Memorial,Late Night Peak,314.90000000000003
Archives-Navy Memorial,Midday,18170.400000000005
Archives-Navy Memorial,PM Peak,66710.29999999999
Arlington Cemetery,AM Peak,196.0
Arlington Cemetery,Evening,1177.7999999999997
Arlington Cemetery,Late Night Peak,3.0
Arlington Cemetery,Midday,8058.2
Arlington Cemetery,PM Peak,6239.400000000001
Ballston,AM Peak,53066.90000000001
Ballston,Evening,13267.0
Ballston,Late Night Peak,373.6
Ballston,Midday,24947.100000000002
Ballston,PM Peak,45343.59999999999
Benning Road,AM Peak,18999.8
Benning Road,Evening,2544.7
Benning Road,Late Night Peak,84.39999999999999
Benning Road,Midday,9491.4
Benning Road,PM Peak,5584.799999999999
Bethesda,AM Peak,38022.2
Bethesda,Evening,16822.2
Bethesda,Late Night Peak,509.3
Bethesda,Midday,24134.799999999996
Bethesda,PM Peak,45913.600000000006
Braddock Road,AM Peak,31257.7
Braddock Road,Evening,3019.3000000000006
Braddock Road,Late Night Peak,74.4
Braddock Road,Midday,8786.0
Braddock Road,PM Peak,10825.199999999999
Branch Avenue,AM Peak,54382.3
Branch Avenue,Evening,2802.6
Branch Avenue,Late Night Peak,47.00000000000001
Branch Avenue,Midday,10687.5
Branch Avenue,PM Peak,6477.4
Brookland,AM Peak,25777.899999999998
Brookland,Evening,8208.2
Brookland,Late Night Peak,149.7
Brookland,Midday,19381.4
Brookland,PM Peak,25857.6
Capitol Heights,AM Peak,14216.5
Capitol Heights,Evening,1489.6000000000001
Capitol Heights,Late Night Peak,57.199999999999996
Capitol Heights,Midday,5519.5
Capitol Heights,PM Peak,2843.7
Capitol South,AM Peak,10468.399999999998
Capitol South,Evening,11842.499999999998
Capitol South,Late Night Peak,135.1
Capitol South,Midday,20183.399999999994
Capitol South,PM Peak,50397.99999999999
Cheverly,AM Peak,11189.0
Cheverly,Evening,632.4
Cheverly,Late Night Peak,20.599999999999998
Cheverly,Midday,3164.4999999999995
Cheverly,PM Peak,1972.6000000000001
Clarendon,AM Peak,22471.100000000002
Clarendon,Evening,9167.5
Clarendon,Late Night Peak,1387.9999999999998
Clarendon,Midday,9645.4
Clarendon,PM Peak,12454.5
Cleveland Park,AM Peak,25801.799999999996
Cleveland Park,Evening,5617.200000000001
Cleveland Park,Late Night Peak,199.50000000000003
Cleveland Park,Midday,11544.899999999998
Cleveland Park,PM Peak,8898.7
College Park-U of MD,AM Peak,22218.5
College Park-U of MD,Evening,4636.0
College Park-U of MD,Late Night Peak,129.5
College Park-U of MD,Midday,12015.7
College Park-U of MD,PM Peak,14320.699999999999
Columbia Heights,AM Peak,50295.600000000006
Columbia Heights,Evening,21326.6
Columbia Heights,Late Night Peak,965.1
Columbia Heights,Midday,33857.99999999999
Columbia Heights,PM Peak,40851.89999999999
Congress Heights,AM Peak,16144.800000000001
Congress Heights,Evening,2177.8
Congress Heights,Late Night Peak,69.7
Congress Heights,Midday,7915.299999999999
Congress Heights,PM Peak,5480.099999999999
Court House,AM Peak,39885.50000000001
Court House,Evening,7884.0999999999985
Court House,Late Night Peak,279.2
Court House,Midday,16305.4
Court House,PM Peak,25762.999999999996
Crystal City,AM Peak,46177.200000000004
Crystal City,Evening,10973.900000000001
Crystal City,Late Night Peak,259.1
Crystal City,Midday,30443.1
Crystal City,PM Peak,52855.700000000004
Deanwood,AM Peak,10053.999999999998
Deanwood,Evening,1375.3
Deanwood,Late Night Peak,50.0
Deanwood,Midday,4614.400000000001
Deanwood,PM Peak,2989.3
