STATION,PERIOD,RIDERS_PER_WEEKDAY
Addison Road,AM Peak,3477.9
Addison Road,Evening,289.20000000000005
Addison Road,Late Night Peak,5.1
Addison Road,Midday,1239.6
Addison Road,PM Peak,577.6
Anacostia,AM Peak,5346.700000000001
Anacostia,Evening,831.9000000000001
Anacostia,Late Night Peak,27.5
Anacostia,Midday,3330.7
Anacostia,PM Peak,3223.0
Archives-Navy Memorial,AM Peak,675.7
Archives-Navy Memorial,Evening,1936.4
Archives-Navy Memorial,Late Night Peak,39.2
Archives-Navy Memorial,Midday,2371.2
Archives-Navy Memorial,PM Peak,9793.3
Arlington Cemetery,AM Peak,25.9
Arlington Cemetery,Evening,7.2
Arlington Cemetery,Late Night Peak,3.2
Arlington Cemetery,Midday,380.0
Arlington Cemetery,PM Peak,308.5
Ballston,AM Peak,8453.9
Ballston,Evening,1805.1
Ballston,Late Night Peak,29.2
Ballston,Midday,3665.7
Ballston,PM Peak,6745.200000000001
Benning Road,AM Peak,2839.0
Benning Road,Evening,318.2
Benning Road,Late Night Peak,7.699999999999999
Benning Road,Midday,1369.3
Benning Road,PM Peak,805.5999999999999
Bethesda,AM Peak,5899.8
Bethesda,Evening,2340.6000000000004
Bethesda,Late Night Peak,47.0
Bethesda,Midday,3389.1
Bethesda,PM Peak,7200.1
Braddock Road,AM Peak,5453.5
Braddock Road,Evening,392.7
Braddock Road,Late Night Peak,8.2
Braddock Road,Midday,1358.1
Braddock Road,PM Peak,1629.1
Branch Avenue,AM Peak,8021.200000000001
Branch Avenue,Evening,249.29999999999998
Branch Avenue,Late Night Peak,4.2
Branch Avenue,Midday,1387.1
Branch Avenue,PM Peak,701.8
Brookland,AM Peak,4232.4
Brookland,Evening,1153.9
Brookland,Late Night Peak,18.5
Brookland,Midday,2880.6
Brookland,PM Peak,3845.7
Capitol Heights,AM Peak,2256.1000000000004
Capitol Heights,Evening,180.3
Capitol Heights,Late Night Peak,4.6
Capitol Heights,Midday,792.0999999999999
Capitol Heights,PM Peak,411.2
Capitol South,AM Peak,1670.6999999999998
Capitol South,Evening,1519.0
Capitol South,Late Night Peak,10.899999999999999
Capitol South,Midday,2525.5
Capitol South,PM Peak,7054.4
Cheverly,AM Peak,1490.9
Cheverly,Evening,77.7
Cheverly,Late Night Peak,1.0
Cheverly,Midday,382.7
Cheverly,PM Peak,256.2
Clarendon,AM Peak,3731.9
Clarendon,Evening,1294.8000000000002
Clarendon,Late Night Peak,120.0
Clarendon,Midday,1539.0
Clarendon,PM Peak,1911.7
Cleveland Park,AM Peak,4159.9
Cleveland Park,Evening,675.1
Cleveland Park,Late Night Peak,13.399999999999999
Cleveland Park,Midday,1632.3
Cleveland Park,PM Peak,1175.7
College Park-U of MD,AM Peak,3227.7
College Park-U of MD,Evening,591.9
College Park-U of MD,Late Night Peak,11.3
College Park-U of MD,Midday,1427.4
College Park-U of MD,PM Peak,2039.2
Columbia Heights,AM Peak,8595.8
Columbia Heights,Evening,2806.4
Columbia Heights,Late Night Peak,76.1
Columbia Heights,Midday,5013.5
Columbia Heights,PM Peak,6427.7
Congress Heights,AM Peak,2351.8
Congress Heights,Evening,276.9
Congress Heights,Late Night Peak,6.0
Congress Heights,Midday,1206.1
Congress Heights,PM Peak,802.9000000000001
Court House,AM Peak,6425.5
Court House,Evening,1040.2
Court House,Late Night Peak,23.6
Court House,Midday,2290.8
Court House,PM Peak,3629.2
Crystal City,AM Peak,7042.8
Crystal City,Evening,1543.6
Crystal City,Late Night Peak,28.8
Crystal City,Midday,4039.1000000000004
Crystal City,PM Peak,8861.4
Deanwood,AM Peak,1399.9
Deanwood,Evening,149.3
