,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
5786,201602,Union Station,29370.6
5742,201602,Gallery Place-Chinatown,25537.3
5695,201601,Union Station,25384.9
5733,201602,Farragut North,24597.0
5757,201602,Metro Center,24329.8
5651,201601,Gallery Place-Chinatown,22386.3
5642,201601,Farragut North,21596.2
5666,201601,Metro Center,21568.6
5734,201602,Farragut West,20917.1
5737,201602,Foggy Bottom,20120.8
5751,201602,L'Enfant Plaza,19342.6
5729,201602,Dupont Circle,18653.1
5643,201601,Farragut West,18297.8
5646,201601,Foggy Bottom,17861.0
5638,201601,Dupont Circle,16597.1
5660,201601,L'Enfant Plaza,16508.4
5765,201602,Pentagon,14584.2
5755,201602,McPherson Square,14340.0
5772,201602,Rosslyn,13666.4
5766,201602,Pentagon City,12557.9
5664,201601,McPherson Square,12551.1
5674,201601,Pentagon,12412.3
5775,201602,Silver Spring,12269.4
5681,201601,Rosslyn,11972.2
5723,201602,Columbia Heights,11840.4
5773,201602,Shady Grove,11732.0
5726,201602,Crystal City,11479.8
5632,201601,Columbia Heights,11075.1
5675,201601,Pentagon City,10999.8
5711,201602,Ballston,10759.1
5684,201601,Silver Spring,10712.1
5682,201601,Shady Grove,10074.6
5789,201602,Vienna,10005.0
5713,201602,Bethesda,9883.0
5620,201601,Ballston,9722.7
5635,201601,Crystal City,9404.3
5764,201602,NoMa-Gallaudet U,9037.5
5622,201601,Bethesda,8990.9
5749,201602,Judiciary Square,8722.2
5741,201602,Friendship Heights,8503.0
5698,201601,Vienna,8263.7
5650,201601,Friendship Heights,7916.7
5709,201602,Archives-Navy Memorial,7829.4
5673,201601,NoMa-Gallaudet U,7732.4
5739,201602,Fort Totten,7542.5
5658,201601,Judiciary Square,7414.2
5736,201602,Federal Triangle,7381.4
5796,201602,Wiehle,7305.7
5750,201602,King St-Old Town,7237.6
5763,201602,New Carrollton,7209.3
