STATION,RIDERS_PER_WEEKDAY
Addison Road,219791.4
Anacostia,470381.9
Archives-Navy Memorial,589847.1
Arlington Cemetery,85489.4
Ballston,760043.3
Benning Road,200836.7
Bethesda,681973
Braddock Road,292466.4
Branch Avenue,414705
Brookland,444078.2
Capitol Heights,133194.7
Capitol South,530730.1
Cheverly,94407.1
Clarendon,301919.2
Cleveland Park,291283.8
College Park-U of MD,299095.4
Columbia Heights,803683.1
Congress Heights,179142.3
Court House,488316
Crystal City,837089.2
Deanwood,108410.5
Dunn Loring,318821.8
Dupont Circle,1336243.9
East Falls Church,267693.1
Eastern Market,391627.9
Eisenhower Avenue,122279.7
Farragut North,1601553.9
Farragut West,1437412.7
Federal Center SW,373006.2
Federal Triangle,589514.1
Foggy Bottom,1402845.8
Forest Glen,153725.9
Fort Totten,487185.5
Franconia-Springfield,548223.6
Friendship Heights,610854.1
Gallery Place-Chinatown,1709123.7
Georgia Avenue-Petworth,393537.1
Glenmont,388675.4
Greenbelt,428093
Greensboro,19403.2
Grosvenor,368297.5
Huntington,544500.4
Judiciary Square,594856.2
King St-Old Town,565198.2
L'Enfant Plaza,1337501.6
Landover,138629.3
Largo Town Center,319107.3
McLean,29699.1
McPherson Square,1039899.1
Medical Center,385535.9
Metro Center,1800728.4
Minnesota Avenue,190639.6
Morgan Blvd.,128731.9
Mt. Vernon Square-UDC,279765.3
Navy Yard-Ballpark,536461.4
Naylor Road,192048.6
New Carrollton,586748.7
NoMa-Gallaudet U,533793.5
Pentagon,1041981.2
Pentagon City,994918
Potomac Avenue,247269.6
Prince George's Plaza,329112.6
Reagan Washington National Airport,403369.6
Rhode Island Avenue,361268.6
Rockville,305394.6
Rosslyn,1020416.4
Shady Grove,850739.7
Shaw-Howard University,323510
Silver Spring,838904.7
Smithsonian,718573.4
Southern Avenue,350165.1
Spring Hill,23673.6
Stadium-Armory,188022.2
Suitland,380299.7
Takoma,375777.4
Tenleytown-AU,459971.1
Twinbrook,288890.2
Tysons Corner,57671
U Street-Cardozo,465691
Union Station,2077799.3
Van Dorn Street,222268.7
Van Ness-UDC,440379.9
Vienna,820063
Virginia Square-GMU,252819.8
Waterfront,268376.6
West Falls Church,542684.3
West Hyattsville,245844.7
Wheaton,272330
White Flint,256312.6
Wiehle,151734.4
Woodley Park-Zoo,471206.3
