STATION,PERIOD,RIDERS_PER_WEEKDAY
Forest Glen,AM Peak,1491.75
Forest Glen,Evening,66.0
Forest Glen,Late Night Peak,1.15
Forest Glen,Midday,324.85
Forest Glen,PM Peak,236.2
Fort Totten,AM Peak,3524.95
Fort Totten,Evening,441.55
Fort Totten,Late Night Peak,10.8
Fort Totten,Midday,1538.95
Fort Totten,PM Peak,1565.35
Franconia-Springfield,AM Peak,4459.65
Franconia-Springfield,Evening,204.5
Franconia-Springfield,Late Night Peak,3.45
Franconia-Springfield,Midday,1083.35
Franconia-Springfield,PM Peak,712.7
Friendship Heights,AM Peak,2848.6
Friendship Heights,Evening,897.8
Friendship Heights,Late Night Peak,14.0
Friendship Heights,Midday,1864.55
Friendship Heights,PM Peak,2585.8
Gallery Place-Chinatown,AM Peak,1644.15
Gallery Place-Chinatown,Evening,7702.4
Gallery Place-Chinatown,Late Night Peak,235.4
Gallery Place-Chinatown,Midday,3470.25
Gallery Place-Chinatown,PM Peak,10922.35
Georgia Avenue-Petworth,AM Peak,2844.15
Georgia Avenue-Petworth,Evening,463.65
Georgia Avenue-Petworth,Late Night Peak,12.15
Georgia Avenue-Petworth,Midday,1303.0500000000002
Georgia Avenue-Petworth,PM Peak,1261.25
Glenmont,AM Peak,4021.8
Glenmont,Evening,142.3
Glenmont,Late Night Peak,2.35
Glenmont,Midday,900.35
Glenmont,PM Peak,463.55
Greenbelt,AM Peak,3569.75
Greenbelt,Evening,241.65
Greenbelt,Late Night Peak,3.8
Greenbelt,Midday,918.2
Greenbelt,PM Peak,708.8
Greensboro,AM Peak,278.5
Greensboro,Evening,113.65
Greensboro,Late Night Peak,0.8500000000000001
Greensboro,Midday,160.0
Greensboro,PM Peak,479.8
Grosvenor,AM Peak,3422.95
Grosvenor,Evening,158.95
Grosvenor,Late Night Peak,2.1
Grosvenor,Midday,830.0
Grosvenor,PM Peak,632.5
Huntington,AM Peak,4900.5
Huntington,Evening,165.0
Huntington,Late Night Peak,3.6500000000000004
Huntington,Midday,964.6500000000001
Huntington,PM Peak,540.4000000000001
Judiciary Square,AM Peak,456.2
Judiciary Square,Evening,687.65
Judiciary Square,Late Night Peak,5.6
Judiciary Square,Midday,1638.65
Judiciary Square,PM Peak,5280.6
King Street,AM Peak,2707.5
King Street,Evening,703.25
King Street,Late Night Peak,14.6
King Street,Midday,1230.0500000000002
King Street,PM Peak,2207.5
L'Enfant Plaza,AM Peak,2477.8999999999996
L'Enfant Plaza,Evening,1120.05
L'Enfant Plaza,Late Night Peak,7.75
L'Enfant Plaza,Midday,2668.3
L'Enfant Plaza,PM Peak,11652.15
Landover,AM Peak,1024.75
Landover,Evening,77.85
Landover,Late Night Peak,1.4
Landover,Midday,302.8
Landover,PM Peak,163.14999999999998
Largo Town Center,AM Peak,2819.3
Largo Town Center,Evening,182.60000000000002
Largo Town Center,Late Night Peak,4.85
Largo Town Center,Midday,646.55
Largo Town Center,PM Peak,405.95000000000005
McLean,AM Peak,692.55
McLean,Evening,82.35
McLean,Late Night Peak,0.75
McLean,Midday,240.1
McLean,PM Peak,515.25
McPherson Square,AM Peak,1484.95
McPherson Square,Evening,1808.85
McPherson Square,Late Night Peak,38.400000000000006
McPherson Square,Midday,2029.0
McPherson Square,PM Peak,8086.35
Medical Center,AM Peak,767.45
Medical Center,Evening,561.2
Medical Center,Late Night Peak,4.6
Medical Center,Midday,810.3
Medical Center,PM Peak,3123.95
Metro Center,AM Peak,1488.55
Metro Center,Evening,4569.450000000001
Metro Center,Late Night Peak,78.8
Metro Center,Midday,3560.75
Metro Center,PM Peak,13253.65
Minnesota Avenue,AM Peak,924.4000000000001
Minnesota Avenue,Evening,160.7
Minnesota Avenue,Late Night Peak,3.5
Minnesota Avenue,Midday,604.2
Minnesota Avenue,PM Peak,558.5
Morgan Blvd.,AM Peak,1237.9
Morgan Blvd.,Evening,55.2
Morgan Blvd.,Late Night Peak,0.75
Morgan Blvd.,Midday,315.29999999999995
Morgan Blvd.,PM Peak,159.9
Mt. Vernon Square-UDC,AM Peak,1264.1
Mt. Vernon Square-UDC,Evening,738.35
Mt. Vernon Square-UDC,Late Night Peak,17.05
Mt. Vernon Square-UDC,Midday,807.4
Mt. Vernon Square-UDC,PM Peak,1620.4
Navy Yard,AM Peak,1068.6
Navy Yard,Evening,561.5999999999999
Navy Yard,Late Night Peak,10.2
Navy Yard,Midday,1113.25
Navy Yard,PM Peak,3608.0
Naylor Road,AM Peak,1407.4
Naylor Road,Evening,142.0
Naylor Road,Late Night Peak,3.9499999999999997
Naylor Road,Midday,525.3
Naylor Road,PM Peak,286.3
New Carrollton,AM Peak,4648.799999999999
New Carrollton,Evening,234.60000000000002
New Carrollton,Late Night Peak,3.3499999999999996
New Carrollton,Midday,1103.0
New Carrollton,PM Peak,793.3
New York Ave,AM Peak,2564.8500000000004
New York Ave,Evening,574.85
New York Ave,Late Night Peak,14.4
New York Ave,Midday,1509.65
New York Ave,PM Peak,3721.95
Pentagon,AM Peak,5235.5
Pentagon,Evening,447.4
Pentagon,Late Night Peak,2.1
Pentagon,Midday,2241.2
Pentagon,PM Peak,5700.1
Pentagon City,AM Peak,5079.9
Pentagon City,Evening,1251.4
Pentagon City,Late Night Peak,10.3
Pentagon City,Midday,2563.05
Pentagon City,PM Peak,3002.2
Potomac Avenue,AM Peak,1959.8
Potomac Avenue,Evening,206.60000000000002
Potomac Avenue,Late Night Peak,3.6
Potomac Avenue,Midday,797.25
Potomac Avenue,PM Peak,523.4000000000001
Prince George's Plaza,AM Peak,2078.45
Prince George's Plaza,Evening,353.85
Prince George's Plaza,Late Night Peak,6.85
Prince George's Plaza,Midday,924.0
Prince George's Plaza,PM Peak,822.5
Reagan Washington National Airport,AM Peak,637.6
