,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
3618,201402,Vienna,11111.2
3619,201402,Virginia Square-GMU,3563.1
3620,201402,Waterfront,3810.6
3621,201402,West Falls Church,9308.8
3622,201402,West Hyattsville,3529.0
3623,201402,Wheaton,3712.8
3624,201402,White Flint,3470.4
3625,201402,Wiehle,4.0
3626,201402,Woodley Park-Zoo,6225.4
3627,201403,Addison Road,2984.4
3628,201403,Anacostia,6841.8
3629,201403,Archives-Navy Memorial,8237.3
3630,201403,Arlington Cemetery,1187.8
3631,201403,Ballston,11047.0
3632,201403,Benning Road,3021.7
3633,201403,Bethesda,10028.4
3634,201403,Braddock Road,4232.5
3635,201403,Branch Avenue,5847.0
3636,201403,Brookland,6446.8
3637,201403,Capitol Heights,1960.1
3638,201403,Capitol South,8238.7
3639,201403,Cheverly,1334.4
3640,201403,Clarendon,4384.2
3641,201403,Cleveland Park,4256.0
3642,201403,College Park-U of MD,4103.0
3643,201403,Columbia Heights,12363.3
3644,201403,Congress Heights,2722.0
3645,201403,Court House,7313.9
3646,201403,Crystal City,11699.2
3647,201403,Deanwood,1538.7
3648,201403,Dunn Loring,4856.3
3649,201403,Dupont Circle,19734.5
3650,201403,East Falls Church,3660.9
3651,201403,Eastern Market,5775.8
3652,201403,Eisenhower Avenue,1759.9
3653,201403,Farragut North,23706.4
3654,201403,Farragut West,20771.7
3655,201403,Federal Center SW,5120.7
3656,201403,Federal Triangle,8237.0
3657,201403,Foggy Bottom,21172.6
3658,201403,Forest Glen,2247.0
3659,201403,Fort Totten,7102.4
3660,201403,Franconia-Springfield,7298.7
3661,201403,Friendship Heights,8858.2
3662,201403,Gallery Place-Chinatown,25836.3
3663,201403,Georgia Avenue-Petworth,6151.3
3664,201403,Glenmont,5697.7
3665,201403,Greenbelt,5814.4
3666,201403,Greensboro,0.0
3667,201403,Grosvenor,5263.7
3668,201403,Huntington,7629.6
3669,201403,Judiciary Square,8545.7
3670,201403,King St-Old Town,8244.5
3671,201403,L'Enfant Plaza,18408.2
3672,201403,Landover,1905.3
3673,201403,Largo Town Center,4416.0
3674,201403,McPherson Square,15256.0
3675,201403,Medical Center,5613.9
3676,201403,Metro Center,25991.0
3677,201403,Minnesota Avenue,2845.2
3678,201403,Morgan Blvd.,1821.5
3679,201403,Mt. Vernon Square-UDC,4229.2
3680,201403,Navy Yard-Ballpark,5974.6
3681,201403,Naylor Road,2757.2
3682,201403,New Carrollton,8234.1
3683,201403,NoMa-Gallaudet U,7954.3
3684,201403,Pentagon,14741.7
3685,201403,Pentagon City,14233.8
3686,201403,Potomac Avenue,3630.5
3687,201403,Prince George's Plaza,4573.9
3688,201403,Reagan Washington National Airport,6105.4
3689,201403,Rhode Island Avenue,5532.7
3690,201403,Rockville,4312.7
3691,201403,Rosslyn,14736.5
3692,201403,Shady Grove,11903.3
3693,201403,Shaw-Howard University,4965.0
3694,201403,Silver Spring,11893.9
3695,201403,Smithsonian,9664.0
3696,201403,Southern Avenue,4760.6
3697,201403,Stadium-Armory,3193.7
3698,201403,Suitland,5138.8
3699,201403,Takoma,5282.9
3700,201403,Tenleytown-AU,6678.0
3701,201403,Twinbrook,4050.9
3702,201403,U Street-Cardozo,7257.1
3703,201403,Union Station,31306.6
3704,201403,Van Dorn Street,3012.0
3705,201403,Van Ness-UDC,6312.6
3706,201403,Vienna,11607.3
3707,201403,Virginia Square-GMU,3562.4
3708,201403,Waterfront,3839.4
3709,201403,West Falls Church,9364.6
3710,201403,West Hyattsville,3581.2
3711,201403,Wheaton,3818.0
3712,201403,White Flint,3524.3
3713,201403,Woodley Park-Zoo,6648.1
3714,201404,Addison Road,3307.6
3715,201404,Anacostia,7256.9
3716,201404,Archives-Navy Memorial,9581.0
3717,201404,Arlington Cemetery,1990.7
3718,201404,Ballston,12056.8
3719,201404,Benning Road,3135.7
3720,201404,Bethesda,10760.8
3721,201404,Braddock Road,4694.5
3722,201404,Branch Avenue,6574.3
3723,201404,Brookland,7097.1
3724,201404,Capitol Heights,2070.7
3725,201404,Capitol South,8580.5
3726,201404,Cheverly,1471.9
3727,201404,Clarendon,4616.6
3728,201404,Cleveland Park,4684.8
3729,201404,College Park-U of MD,4971.1
3730,201404,Columbia Heights,12678.2
3731,201404,Congress Heights,2674.9
3732,201404,Court House,7823.7
3733,201404,Crystal City,13078.8
3734,201404,Deanwood,1632.2
3735,201404,Dunn Loring,5478.5
3736,201404,Dupont Circle,21189.7
3737,201404,East Falls Church,4137.9
3738,201404,Eastern Market,6262.0
3739,201404,Eisenhower Avenue,2050.0
3740,201404,Farragut North,25131.0
3741,201404,Farragut West,23382.6
3742,201404,Federal Center SW,5626.1
3743,201404,Federal Triangle,9772.9
3744,201404,Foggy Bottom,20876.7
3745,201404,Forest Glen,2432.0
3746,201404,Fort Totten,7736.5
3747,201404,Franconia-Springfield,8590.4
3748,201404,Friendship Heights,9670.7
3749,201404,Gallery Place-Chinatown,26702.2
3750,201404,Georgia Avenue-Petworth,6275.2
3751,201404,Glenmont,6236.9
3752,201404,Greenbelt,6774.5
3753,201404,Grosvenor,5798.1
3754,201404,Huntington,8584.7
3755,201404,Judiciary Square,9173.7
3756,201404,King St-Old Town,9430.8
3757,201404,L'Enfant Plaza,20788.4
3758,201404,Landover,2074.5
3759,201404,Largo Town Center,4898.3
3760,201404,McLean,2.0
3761,201404,McPherson Square,16584.1
3762,201404,Medical Center,6080.7
3763,201404,Metro Center,28811.1
3764,201404,Minnesota Avenue,2988.9
3765,201404,Morgan Blvd.,1967.1
3766,201404,Mt. Vernon Square-UDC,4451.3
3767,201404,Navy Yard-Ballpark,10427.3
3768,201404,Naylor Road,2955.0
3769,201404,New Carrollton,9353.5
3770,201404,NoMa-Gallaudet U,8471.7
3771,201404,Pentagon,16056.0
3772,201404,Pentagon City,15961.2
3773,201404,Potomac Avenue,3829.7
3774,201404,Prince George's Plaza,5039.0
3775,201404,Reagan Washington National Airport,6451.2
3776,201404,Rhode Island Avenue,5935.0
3777,201404,Rockville,4805.4
3778,201404,Rosslyn,16019.5
3779,201404,Shady Grove,13517.0
3780,201404,Shaw-Howard University,5403.0
3781,201404,Silver Spring,12856.3
3782,201404,Smithsonian,15592.4
3783,201404,Southern Avenue,5275.4
3784,201404,Stadium-Armory,2806.9
3785,201404,Suitland,5626.0
3786,201404,Takoma,5745.4
3787,201404,Tenleytown-AU,7206.5
3788,201404,Twinbrook,4439.0
3789,201404,U Street-Cardozo,7660.7
3790,201404,Union Station,33671.5
3791,201404,Van Dorn Street,3350.5
3792,201404,Van Ness-UDC,6765.5
3793,201404,Vienna,12949.8
3794,201404,Virginia Square-GMU,3874.7
3795,201404,Waterfront,4034.4
3796,201404,West Falls Church,10681.5
3797,201404,West Hyattsville,3894.6
3798,201404,Wheaton,4192.9
3799,201404,White Flint,3846.0
3800,201404,Woodley Park-Zoo,8533.9
3801,201405,Addison Road,3345.6
3802,201405,Anacostia,7256.6
3803,201405,Archives-Navy Memorial,9092.4
3804,201405,Arlington Cemetery,1746.1
3805,201405,Ballston,11722.6
3806,201405,Benning Road,3201.0
3807,201405,Bethesda,10928.7
3808,201405,Braddock Road,4633.8
3809,201405,Branch Avenue,6452.8
3810,201405,Brookland,6674.7
3811,201405,Capitol Heights,2102.4
3812,201405,Capitol South,8188.9
3813,201405,Cheverly,1493.1
3814,201405,Clarendon,4692.0
3815,201405,Cleveland Park,4540.4
3816,201405,College Park-U of MD,4604.2
3817,201405,Columbia Heights,12736.5
3818,201405,Congress Heights,2731.7
3819,201405,Court House,7707.3
3820,201405,Crystal City,11963.9
3821,201405,Deanwood,1663.6
3822,201405,Dunn Loring,5357.5
3823,201405,Dupont Circle,20568.1
3824,201405,East Falls Church,4169.1
3825,201405,Eastern Market,6231.5
3826,201405,Eisenhower Avenue,1919.3
3827,201405,Farragut North,24561.6
3828,201405,Farragut West,22775.0
3829,201405,Federal Center SW,5391.2
3830,201405,Federal Triangle,8499.5
3831,201405,Foggy Bottom,18504.8
3832,201405,Forest Glen,2442.4
3833,201405,Fort Totten,7971.5
3834,201405,Franconia-Springfield,8157.1
3835,201405,Friendship Heights,9660.1
3836,201405,Gallery Place-Chinatown,25452.7
3837,201405,Georgia Avenue-Petworth,6409.2
3838,201405,Glenmont,6255.7
3839,201405,Greenbelt,6504.0
3840,201405,Grosvenor,5813.0
3841,201405,Huntington,8287.0
3842,201405,Judiciary Square,8954.4
3843,201405,King St-Old Town,9174.9
3844,201405,L'Enfant Plaza,19393.7
3845,201405,Landover,2087.4
3846,201405,Largo Town Center,4902.9
3847,201405,McPherson Square,16204.9
3848,201405,Medical Center,6002.0
3849,201405,Metro Center,27754.0
3850,201405,Minnesota Avenue,3006.2
3851,201405,Morgan Blvd.,2035.8
3852,201405,Mt. Vernon Square-UDC,4541.1
3853,201405,Navy Yard-Ballpark,10515.7
3854,201405,Naylor Road,3034.9
3855,201405,New Carrollton,9074.3
3856,201405,NoMa-Gallaudet U,8415.2
3857,201405,Pentagon,15735.0
3858,201405,Pentagon City,15479.1
3859,201405,Potomac Avenue,3840.0
3860,201405,Prince George's Plaza,5133.5
3861,201405,Reagan Washington National Airport,6735.4
3862,201405,Rhode Island Avenue,6071.6
3863,201405,Rockville,4779.9
3864,201405,Rosslyn,15535.6
3865,201405,Shady Grove,13216.6
3866,201405,Shaw-Howard University,5044.6
3867,201405,Silver Spring,13179.0
3868,201405,Smithsonian,10914.6
3869,201405,Southern Avenue,5349.1
3870,201405,Stadium-Armory,3022.5
3871,201405,Suitland,5677.6
3872,201405,Takoma,5736.5
3873,201405,Tenleytown-AU,6767.1
3874,201405,Twinbrook,4478.6
3875,201405,U Street-Cardozo,7968.1
3876,201405,Union Station,32365.5
3877,201405,Van Dorn Street,3379.6
3878,201405,Van Ness-UDC,6537.1
3879,201405,Vienna,12533.5
3880,201405,Virginia Square-GMU,3741.0
3881,201405,Waterfront,4024.6
3882,201405,West Falls Church,10614.9
3883,201405,West Hyattsville,3995.2
3884,201405,Wheaton,4227.4
3885,201405,White Flint,3903.0
3886,201405,Woodley Park-Zoo,7278.5
3887,201406,Addison Road,3400.7
3888,201406,Anacostia,7043.7
3889,201406,Archives-Navy Memorial,10015.9
3890,201406,Arlington Cemetery,2307.3
3891,201406,Ballston,11977.4
3892,201406,Benning Road,3062.1
3893,201406,Bethesda,11181.6
3894,201406,Braddock Road,4804.6
3895,201406,Branch Avenue,6789.2
3896,201406,Brookland,6485.1
3897,201406,Capitol Heights,2074.0
3898,201406,Capitol South,9620.9
3899,201406,Cheverly,1537.1
3900,201406,Clarendon,4785.4
3901,201406,Cleveland Park,4564.7
3902,201406,College Park-U of MD,5358.0
3903,201406,Columbia Heights,12604.5
3904,201406,Congress Heights,2595.7
3905,201406,Court House,7834.9
3906,201406,Crystal City,12507.6
3907,201406,Deanwood,1660.4
3908,201406,Dunn Loring,5602.0
3909,201406,Dupont Circle,21864.9
3910,201406,East Falls Church,4367.3
3911,201406,Eastern Market,6231.4
3912,201406,Eisenhower Avenue,2034.1
3913,201406,Farragut North,25868.3
3914,201406,Farragut West,23634.9
3915,201406,Federal Center SW,5711.4
3916,201406,Federal Triangle,9333.0
3917,201406,Foggy Bottom,18456.2
3918,201406,Forest Glen,2457.8
3919,201406,Fort Totten,7854.9
3920,201406,Franconia-Springfield,8619.9
3921,201406,Friendship Heights,9846.3
3922,201406,Gallery Place-Chinatown,26635.0
3923,201406,Georgia Avenue-Petworth,6177.6
3924,201406,Glenmont,6392.2
3925,201406,Greenbelt,6902.3
3926,201406,Greensboro,4.3
3927,201406,Grosvenor,5989.0
3928,201406,Huntington,8656.7
3929,201406,Judiciary Square,9325.5
3930,201406,King St-Old Town,9666.4
3931,201406,L'Enfant Plaza,19829.0
3932,201406,Landover,2075.7
3933,201406,Largo Town Center,5128.7
3934,201406,McLean,4.1
3935,201406,McPherson Square,16800.9
3936,201406,Medical Center,6428.0
3937,201406,Metro Center,29158.5
3938,201406,Minnesota Avenue,2959.5
3939,201406,Morgan Blvd.,2096.3
3940,201406,Mt. Vernon Square-UDC,4371.9
3941,201406,Navy Yard-Ballpark,10631.7
3942,201406,Naylor Road,3030.1
3943,201406,New Carrollton,9350.4
3944,201406,NoMa-Gallaudet U,9145.4
3945,201406,Pentagon,15859.9
3946,201406,Pentagon City,15656.2
3947,201406,Potomac Avenue,3825.8
3948,201406,Prince George's Plaza,5192.6
3949,201406,Reagan Washington National Airport,6716.9
3950,201406,Rhode Island Avenue,5964.5
3951,201406,Rockville,4913.5
3952,201406,Rosslyn,16257.1
3953,201406,Shady Grove,13795.0
3954,201406,Shaw-Howard University,4912.8
3955,201406,Silver Spring,13438.8
3956,201406,Smithsonian,13869.3
3957,201406,Southern Avenue,5312.5
3958,201406,Spring Hill,2.2
3959,201406,Stadium-Armory,2754.4
3960,201406,Suitland,5734.5
3961,201406,Takoma,5731.7
3962,201406,Tenleytown-AU,7064.8
3963,201406,Twinbrook,4614.3
3964,201406,Tysons Corner,3.8
3965,201406,U Street-Cardozo,7882.8
3966,201406,Union Station,33797.2
3967,201406,Van Dorn Street,3575.3
3968,201406,Van Ness-UDC,6494.5
3969,201406,Vienna,13187.6
3970,201406,Virginia Square-GMU,3977.0
3971,201406,Waterfront,4111.9
3972,201406,West Falls Church,11136.8
3973,201406,West Hyattsville,3981.4
3974,201406,Wheaton,4270.4
3975,201406,White Flint,3994.2
3976,201406,Wiehle,25.6
3977,201406,Woodley Park-Zoo,8411.9
3978,201407,Addison Road,3396.0
3979,201407,Anacostia,7278.7
3980,201407,Archives-Navy Memorial,9922.7
3981,201407,Arlington Cemetery,2396.5
3982,201407,Ballston,11821.1
3983,201407,Benning Road,3080.6
3984,201407,Bethesda,11061.8
3985,201407,Braddock Road,4758.1
3986,201407,Branch Avenue,6795.0
3987,201407,Brookland,6320.7
3988,201407,Capitol Heights,2050.7
3989,201407,Capitol South,9800.1
3990,201407,Cheverly,1528.3
3991,201407,Clarendon,4758.4
3992,201407,Cleveland Park,4414.4
3993,201407,College Park-U of MD,5012.5
3994,201407,Columbia Heights,12421.9
3995,201407,Congress Heights,2649.4
3996,201407,Court House,7802.4
3997,201407,Crystal City,12396.7
3998,201407,Deanwood,1679.7
3999,201407,Dunn Loring,5414.9
4000,201407,Dupont Circle,21596.2
4001,201407,East Falls Church,4358.0
4002,201407,Eastern Market,6126.0
4003,201407,Eisenhower Avenue,2075.0
4004,201407,Farragut North,25068.5
4005,201407,Farragut West,23053.9
4006,201407,Federal Center SW,5651.3
4007,201407,Federal Triangle,9614.0
4008,201407,Foggy Bottom,19653.6
4009,201407,Forest Glen,2394.1
4010,201407,Fort Totten,7783.3
4011,201407,Franconia-Springfield,8659.1
4012,201407,Friendship Heights,9454.5
4013,201407,Gallery Place-Chinatown,26079.6
4014,201407,Georgia Avenue-Petworth,6062.4
4015,201407,Glenmont,6347.0
4016,201407,Greenbelt,6758.0
4017,201407,Greensboro,209.2
4018,201407,Grosvenor,5801.9
4019,201407,Huntington,8550.8
4020,201407,Judiciary Square,9356.6
4021,201407,King St-Old Town,9698.8
4022,201407,L'Enfant Plaza,20725.3
4023,201407,Landover,2039.5
4024,201407,Largo Town Center,5278.4
4025,201407,McLean,388.9
4026,201407,McPherson Square,16614.2
4027,201407,Medical Center,6485.8
4028,201407,Metro Center,28636.9
4029,201407,Minnesota Avenue,3043.0
4030,201407,Morgan Blvd.,2486.2
4031,201407,Mt. Vernon Square-UDC,4868.1
4032,201407,Navy Yard-Ballpark,10204.2
4033,201407,Naylor Road,2980.2
4034,201407,New Carrollton,9480.2
4035,201407,NoMa-Gallaudet U,9242.8
4036,201407,Pentagon,15678.6
4037,201407,Pentagon City,15571.9
4038,201407,Potomac Avenue,3720.0
4039,201407,Prince George's Plaza,5169.9
4040,201407,Reagan Washington National Airport,6573.3
4041,201407,Rhode Island Avenue,5875.5
4042,201407,Rockville,4802.0
4043,201407,Rosslyn,15836.1
4044,201407,Shady Grove,13491.7
4045,201407,Shaw-Howard University,4963.5
4046,201407,Silver Spring,13263.5
4047,201407,Smithsonian,14948.0
4048,201407,Southern Avenue,5235.9
4049,201407,Spring Hill,368.9
4050,201407,Stadium-Armory,2945.0
4051,201407,Suitland,5622.2
4052,201407,Takoma,5367.4
4053,201407,Tenleytown-AU,6533.2
4054,201407,Twinbrook,4530.8
4055,201407,Tysons Corner,971.4
4056,201407,U Street-Cardozo,7616.4
4057,201407,Union Station,32419.5
4058,201407,Van Dorn Street,3532.3
4059,201407,Van Ness-UDC,6302.0
4060,201407,Vienna,13179.7
4061,201407,Virginia Square-GMU,3927.6
4062,201407,Waterfront,4137.5
4063,201407,West Falls Church,9632.1
4064,201407,West Hyattsville,3896.4
4065,201407,Wheaton,4217.6
4066,201407,White Flint,3851.3
4067,201407,Wiehle,2346.2
4068,201407,Woodley Park-Zoo,8584.5
4069,201408,Addison Road,3426.1
4070,201408,Anacostia,7418.1
4071,201408,Archives-Navy Memorial,9146.3
4072,201408,Arlington Cemetery,1718.2
4073,201408,Ballston,11479.4
4074,201408,Benning Road,3019.4
4075,201408,Bethesda,10444.2
4076,201408,Braddock Road,4574.6
4077,201408,Branch Avenue,6504.8
4078,201408,Brookland,6301.3
4079,201408,Capitol Heights,1990.5
4080,201408,Capitol South,6957.0
4081,201408,Cheverly,1443.4
4082,201408,Clarendon,4710.2
4083,201408,Cleveland Park,4318.3
4084,201408,College Park-U of MD,4340.0
4085,201408,Columbia Heights,12103.3
4086,201408,Congress Heights,2647.7
4087,201408,Court House,7647.7
4088,201408,Crystal City,11640.2
4089,201408,Deanwood,1607.2
4090,201408,Dunn Loring,4690.8
4091,201408,Dupont Circle,20166.7
4092,201408,East Falls Church,4274.4
4093,201408,Eastern Market,5887.4
4094,201408,Eisenhower Avenue,1820.5
4095,201408,Farragut North,23304.7
4096,201408,Farragut West,21314.6
4097,201408,Federal Center SW,5180.0
4098,201408,Federal Triangle,8441.3
4099,201408,Foggy Bottom,18563.0
4100,201408,Forest Glen,2277.9
4101,201408,Fort Totten,7700.3
4102,201408,Franconia-Springfield,8170.4
4103,201408,Friendship Heights,8791.7
4104,201408,Gallery Place-Chinatown,24960.8
4105,201408,Georgia Avenue-Petworth,5918.8
4106,201408,Glenmont,6040.4
4107,201408,Greenbelt,6636.0
4108,201408,Greensboro,897.2
4109,201408,Grosvenor,5439.3
4110,201408,Huntington,8174.5
4111,201408,Judiciary Square,8489.1
4112,201408,King St-Old Town,8911.5
4113,201408,L'Enfant Plaza,19303.4
4114,201408,Landover,1990.7
4115,201408,Largo Town Center,5164.0
4116,201408,McLean,1441.0
4117,201408,McPherson Square,15457.0
4118,201408,Medical Center,5854.9
4119,201408,Metro Center,26571.4
4120,201408,Minnesota Avenue,2789.8
4121,201408,Morgan Blvd.,2741.1
4122,201408,Mt. Vernon Square-UDC,4249.2
4123,201408,Navy Yard-Ballpark,12218.9
4124,201408,Naylor Road,2954.2
4125,201408,New Carrollton,9016.7
4126,201408,NoMa-Gallaudet U,8717.0
4127,201408,Pentagon,15182.5
4128,201408,Pentagon City,15074.2
4129,201408,Potomac Avenue,3554.2
4130,201408,Prince George's Plaza,5179.0
4131,201408,Reagan Washington National Airport,6626.0
4132,201408,Rhode Island Avenue,5673.1
4133,201408,Rockville,4608.7
4134,201408,Rosslyn,15547.6
4135,201408,Shady Grove,12862.2
4136,201408,Shaw-Howard University,5081.1
4137,201408,Silver Spring,12648.7
4138,201408,Smithsonian,12438.3
4139,201408,Southern Avenue,4853.5
4140,201408,Spring Hill,1319.8
4141,201408,Stadium-Armory,2572.9
4142,201408,Suitland,5529.5
4143,201408,Takoma,5237.0
4144,201408,Tenleytown-AU,6199.7
4145,201408,Twinbrook,4398.7
4146,201408,Tysons Corner,3000.2
4147,201408,U Street-Cardozo,7502.5
4148,201408,Union Station,29272.0
4149,201408,Van Dorn Street,3388.3
4150,201408,Van Ness-UDC,6165.4
4151,201408,Vienna,11772.1
4152,201408,Virginia Square-GMU,3708.9
4153,201408,Waterfront,4035.8
4154,201408,West Falls Church,3362.0
4155,201408,West Hyattsville,3895.7
4156,201408,Wheaton,4147.0
4157,201408,White Flint,3687.3
4158,201408,Wiehle,8425.2
4159,201408,Woodley Park-Zoo,7898.7
4160,201409,Addison Road,3522.4
4161,201409,Anacostia,7698.1
4162,201409,Archives-Navy Memorial,8714.0
4163,201409,Arlington Cemetery,1131.3
4164,201409,Ballston,11937.1
4165,201409,Benning Road,3221.2
4166,201409,Bethesda,10799.0
4167,201409,Braddock Road,4745.7
4168,201409,Branch Avenue,6500.5
4169,201409,Brookland,7472.4
4170,201409,Capitol Heights,2110.9
4171,201409,Capitol South,7478.0
4172,201409,Cheverly,1472.1
4173,201409,Clarendon,4792.6
4174,201409,Cleveland Park,4359.9
4175,201409,College Park-U of MD,4621.8
4176,201409,Columbia Heights,12523.9
4177,201409,Congress Heights,2817.0
4178,201409,Court House,7787.7
4179,201409,Crystal City,12068.7
4180,201409,Deanwood,1716.3
4181,201409,Dunn Loring,4761.2
4182,201409,Dupont Circle,20115.4
4183,201409,East Falls Church,4412.4
4184,201409,Eastern Market,5972.1
4185,201409,Eisenhower Avenue,1755.2
4186,201409,Farragut North,24852.9
4187,201409,Farragut West,22605.5
4188,201409,Federal Center SW,5281.0
4189,201409,Federal Triangle,7956.4
4190,201409,Foggy Bottom,22313.0
4191,201409,Forest Glen,2328.5
4192,201409,Fort Totten,8083.7
