STATION,RIDERS_PER_WEEKDAY
Addison Road,37818.7
Anacostia,82944.79999999999
Archives-Navy Memorial,103568.3
Arlington Cemetery,16311.700000000003
Ballston,132890.19999999998
Benning Road,34832.1
Bethesda,120533.3
Braddock Road,54538.8
Branch Avenue,69037.29999999999
Brookland,77656.09999999999
Capitol Heights,23318.800000000007
Capitol South,89400.29999999999
Cheverly,15070.7
Clarendon,55132.2
Cleveland Park,49065.69999999999
College Park-U of MD,50950.299999999996
Columbia Heights,141762.4
Congress Heights,29853.699999999993
Court House,86201.50000000001
Crystal City,139544.4
Deanwood,17487.0
Dunn Loring,50007.9
Dupont Circle,230986.99999999997
East Falls Church,49632.09999999999
Eastern Market,68623.2
Eisenhower Avenue,19425.5
Farragut North,282793.19999999995
Farragut West,253829.40000000002
Federal Center SW,61561.7
Federal Triangle,95094.80000000002
Foggy Bottom,248613.49999999997
Forest Glen,27295.8
Fort Totten,90052.59999999999
Franconia-Springfield,88043.80000000002
Friendship Heights,106736.99999999999
Gallery Place-Chinatown,298690.0
Georgia Avenue-Petworth,72300.6
Glenmont,70606.5
Greenbelt,72201.7
Greensboro,12503.099999999999
Grosvenor,63838.49999999999
Huntington,90037.3
Judiciary Square,102338.59999999999
King St-Old Town,97943.4
L'Enfant Plaza,235626.8
Landover,21495.6
Largo Town Center,54677.299999999996
McLean,19010.5
McPherson Square,177863.69999999995
Medical Center,66697.9
Metro Center,307914.8
Minnesota Avenue,30540.299999999996
Morgan Blvd.,24442.0
Mt. Vernon Square-UDC,53679.4
Navy Yard-Ballpark,101564.20000000001
Naylor Road,32031.0
New Carrollton,92832.3
NoMa-Gallaudet U,108365.49999999999
Pentagon,173649.19999999998
Pentagon City,160266.9
Potomac Avenue,43100.100000000006
Prince George's Plaza,56306.59999999999
Reagan Washington National Airport,77005.59999999999
Rhode Island Avenue,68359.09999999999
Rockville,51569.200000000004
Rosslyn,171038.1
Shady Grove,142012.30000000002
Shaw-Howard University,60388.6
Silver Spring,148245.80000000002
Smithsonian,119205.59999999999
Southern Avenue,57861.799999999996
Spring Hill,14978.900000000001
Stadium-Armory,31177.199999999997
Suitland,61192.899999999994
Takoma,64255.4
Tenleytown-AU,76780.6
Twinbrook,50117.49999999999
Tysons Corner,36715.2
U Street-Cardozo,85082.1
Union Station,357685.80000000005
Van Dorn Street,37469.0
Van Ness-UDC,72927.59999999999
Vienna,125747.9
Virginia Square-GMU,46485.200000000004
Waterfront,47668.100000000006
West Falls Church,34310.8
West Hyattsville,43552.1
Wheaton,47802.9
White Flint,44163.5
Wiehle,95718.2
Woodley Park-Zoo,78644.5
