STATION,RIDERS_PER_WEEKDAY
Addison Road,2751.55
Anacostia,6379.450000000001
Archives-Navy Memorial,7405.799999999999
Arlington Cemetery,358.29999999999995
Ballston,10240.900000000001
Benning Road,2634.3
Bethesda,9436.95
Braddock Road,4420.6
Branch Avenue,5082.75
Brookland,6012.15
Capitol Heights,1793.4
Capitol South,6372.55
Cheverly,1085.75
Clarendon,4253.75
Cleveland Park,3827.75
College Park-U of MD,3592.25
Columbia Heights,11457.75
Congress Heights,2292.05
Court House,6704.35
Crystal City,10442.05
Deanwood,1295.45
Dunn Loring,3865.75
Dupont Circle,17625.1
East Falls Church,3658.85
Eastern Market,5298.35
Eisenhower Avenue,1395.5
Farragut North,23096.6
Farragut West,19607.449999999997
Federal Center SW,5196.0
Federal Triangle,6819.45
Foggy Bottom,18990.9
Forest Glen,2119.8500000000004
Fort Totten,7081.3
Franconia-Springfield,6441.1
Friendship Heights,8209.85
Gallery Place-Chinatown,23961.8
Georgia Avenue-Petworth,5883.65
Glenmont,5530.3
Greenbelt,5353.25
Greensboro,1019.75
Grosvenor,5046.35
Huntington,6574.0
Judiciary Square,8068.200000000001
King St-Old Town,6793.4
L'Enfant Plaza,17925.5
Landover,1567.9
Largo Town Center,4037.85
McLean,1531.0500000000002
McPherson Square,13445.55
Medical Center,5267.2
Metro Center,22949.199999999997
Minnesota Avenue,2227.85
Morgan Blvd.,1729.85
Mt. Vernon Square-UDC,4446.9
Navy Yard-Ballpark,6361.35
Naylor Road,2329.65
New Carrollton,6668.25
NoMa-Gallaudet U,8384.95
Pentagon,13498.25
Pentagon City,11778.849999999999
Potomac Avenue,3440.6499999999996
Prince George's Plaza,4132.5
Reagan Washington National Airport,5341.05
Rhode Island Avenue,5383.3
Rockville,3941.0
Rosslyn,12819.3
Shady Grove,10903.3
Shaw-Howard University,4742.9
Silver Spring,11490.75
Smithsonian,6634.2
Southern Avenue,4442.95
Spring Hill,986.0
Stadium-Armory,2330.0
Suitland,4626.35
Takoma,4990.15
Tenleytown-AU,6211.5
Twinbrook,3900.2
Tysons Corner,2683.9
U Street-Cardozo,6402.95
Union Station,27377.75
Van Dorn Street,2896.95
Van Ness-UDC,5834.85
Vienna,9134.35
Virginia Square-GMU,3631.3999999999996
Waterfront,3827.45
West Falls Church,2512.65
West Hyattsville,3233.85
Wheaton,3625.9
White Flint,3479.8
Wiehle,6766.9
Woodley Park-Zoo,5363.45
