STATION,PERIOD,RIDERS_PER_WEEKDAY
Farragut West,PM Peak,872312.3999999997
Federal Center SW,AM Peak,27685.199999999993
Federal Center SW,Evening,28033.699999999997
Federal Center SW,Late Night Peak,301.29999999999984
Federal Center SW,Midday,70481.09999999999
Federal Center SW,PM Peak,246545.6000000001
Federal Triangle,AM Peak,12287.599999999997
Federal Triangle,Evening,64220.3
Federal Triangle,Late Night Peak,687.8000000000003
Federal Triangle,Midday,102633.90000000004
Federal Triangle,PM Peak,410072.9000000001
Foggy Bottom,AM Peak,160452.19999999995
Foggy Bottom,Evening,290011.5
Foggy Bottom,Late Night Peak,7340.7
Foggy Bottom,Midday,268712.60000000003
Foggy Bottom,PM Peak,677958.1000000004
Forest Glen,AM Peak,104562.09999999998
Forest Glen,Evening,6110.300000000002
Forest Glen,Late Night Peak,175.20000000000002
Forest Glen,Midday,24886.399999999998
Forest Glen,PM Peak,18074.400000000005
Fort Totten,AM Peak,241868.40000000002
Fort Totten,Evening,37540.100000000006
Fort Totten,Late Night Peak,1306.0
Fort Totten,Midday,110033.09999999999
Fort Totten,PM Peak,96533.70000000001
Franconia-Springfield,AM Peak,362799.6
Franconia-Springfield,Evening,20126.1
Franconia-Springfield,Late Night Peak,335.4999999999999
Franconia-Springfield,Midday,103410.5
Franconia-Springfield,PM Peak,61653.799999999996
Friendship Heights,AM Peak,208328.3
Friendship Heights,Evening,78107.40000000002
Friendship Heights,Late Night Peak,2006.0999999999997
Friendship Heights,Midday,140909.50000000003
Friendship Heights,PM Peak,181798.49999999994
Gallery Place-Chinatown,AM Peak,113511.80000000005
Gallery Place-Chinatown,Evening,525601.2000000002
Gallery Place-Chinatown,Late Night Peak,23057.199999999993
Gallery Place-Chinatown,Midday,279474.19999999995
Gallery Place-Chinatown,PM Peak,768477.9
Georgia Avenue-Petworth,AM Peak,168918.89999999997
Georgia Avenue-Petworth,Evening,41044.500000000015
Georgia Avenue-Petworth,Late Night Peak,1715.7999999999997
Georgia Avenue-Petworth,Midday,92948.1
Georgia Avenue-Petworth,PM Peak,89036.7
Glenmont,AM Peak,273981.2
Glenmont,Evening,13701.099999999995
Glenmont,Late Night Peak,346.60000000000014
Glenmont,Midday,65258.69999999998
Glenmont,PM Peak,35468.3
Greenbelt,AM Peak,259972.5
Greenbelt,Evening,24196.499999999993
Greenbelt,Late Night Peak,487.40000000000015
Greenbelt,Midday,83453.09999999998
Greenbelt,PM Peak,60316.1
Greensboro,AM Peak,5110.3
Greensboro,Evening,2173.1
Greensboro,Late Night Peak,22.399999999999995
Greensboro,Midday,3322.5
Greensboro,PM Peak,8968.9
Grosvenor,AM Peak,241884.9
Grosvenor,Evening,16279.700000000003
Grosvenor,Late Night Peak,370.9000000000001
Grosvenor,Midday,61286.700000000004
Grosvenor,PM Peak,48661.09999999999
Huntington,AM Peak,385883.6
Huntington,Evening,17722.500000000004
Huntington,Late Night Peak,411.30000000000007
Huntington,Midday,88613.39999999995
Huntington,PM Peak,51871.39999999999
Judiciary Square,AM Peak,32778.3
Judiciary Square,Evening,51944.499999999985
Judiciary Square,Late Night Peak,671.9999999999999
Judiciary Square,Midday,131850.3
Judiciary Square,PM Peak,377976.0999999999
King Street,AM Peak,190966.70000000004
King Street,Evening,68011.90000000001
King Street,Late Night Peak,2211.1000000000004
King Street,Midday,117019.3
King Street,PM Peak,187391.8
L'Enfant Plaza,AM Peak,182395.20000000007
L'Enfant Plaza,Evening,99027.90000000001
L'Enfant Plaza,Late Night Peak,1169.7
L'Enfant Plaza,Midday,225332.7
L'Enfant Plaza,PM Peak,830481.6000000001
Landover,AM Peak,92175.7
Landover,Evening,7286.799999999999
Landover,Late Night Peak,248.4
Landover,Midday,25883.799999999996
Landover,PM Peak,13112.200000000003
Largo Town Center,AM Peak,208942.19999999992
Largo Town Center,Evening,20740.7
Largo Town Center,Late Night Peak,764.0
Largo Town Center,Midday,52486.599999999984
Largo Town Center,PM Peak,36219.9
McLean,AM Peak,12888.2
McLean,Evening,1747.8000000000002
McLean,Late Night Peak,27.500000000000004
McLean,Midday,5324.500000000001
McLean,PM Peak,9926.2
McPherson Square,AM Peak,103993.79999999999
McPherson Square,Evening,144723.3
McPherson Square,Late Night Peak,4207.0
McPherson Square,Midday,173521.1
McPherson Square,PM Peak,613568.5000000003
Medical Center,AM Peak,58844.30000000001
Medical Center,Evening,42654.999999999985
Medical Center,Late Night Peak,360.19999999999993
Medical Center,Midday,63059.90000000001
Medical Center,PM Peak,220664.80000000002
Metro Center,AM Peak,106345.00000000003
Metro Center,Evening,375379.1
Metro Center,Late Night Peak,8368.6
Metro Center,Midday,312111.19999999995
Metro Center,PM Peak,999532.6
Minnesota Avenue,AM Peak,72884.1
Minnesota Avenue,Evening,17133.100000000002
Minnesota Avenue,Late Night Peak,609.4999999999999
Minnesota Avenue,Midday,52764.89999999999
Minnesota Avenue,PM Peak,47458.299999999996
Morgan Blvd.,AM Peak,83960.69999999997
Morgan Blvd.,Evening,9345.400000000001
Morgan Blvd.,Late Night Peak,941.8
Morgan Blvd.,Midday,21319.1
Morgan Blvd.,PM Peak,13309.199999999999
Mt. Vernon Square-UDC,AM Peak,76564.40000000001
Mt. Vernon Square-UDC,Evening,45623.899999999994
Mt. Vernon Square-UDC,Late Night Peak,1945.499999999999
Mt. Vernon Square-UDC,Midday,57599.99999999999
Mt. Vernon Square-UDC,PM Peak,98099.80000000002
Navy Yard,AM Peak,66192.2
Navy Yard,Evening,142376.59999999992
Navy Yard,Late Night Peak,3388.6
Navy Yard,Midday,77641.3
Navy Yard,PM Peak,247315.1000000001
Naylor Road,AM Peak,111617.30000000005
Naylor Road,Evening,13855.600000000002
Naylor Road,Late Night Peak,519.4999999999999
Naylor Road,Midday,41605.700000000004
Naylor Road,PM Peak,24731.2
New Carrollton,AM Peak,385846.8000000001
New Carrollton,Evening,25370.9
New Carrollton,Late Night Peak,535.3
New Carrollton,Midday,103785.7
New Carrollton,PM Peak,71870.99999999999
New York Ave,AM Peak,131714.69999999998
New York Ave,Evening,45549.8
New York Ave,Late Night Peak,2038.2999999999997
New York Ave,Midday,113002.6
New York Ave,PM Peak,241580.79999999984
Pentagon,AM Peak,400651.8999999999
Pentagon,Evening,38728.5
Pentagon,Late Night Peak,309.50000000000006
Pentagon,Midday,192193.59999999992
Pentagon,PM Peak,410662.6
Pentagon City,AM Peak,361953.39999999997
Pentagon City,Evening,138907.9
Pentagon City,Late Night Peak,1396.7000000000005
Pentagon City,Midday,224429.59999999998
Pentagon City,PM Peak,269115.1
Potomac Avenue,AM Peak,129851.50000000001
Potomac Avenue,Evening,19019.89999999999
Potomac Avenue,Late Night Peak,602.3000000000002
Potomac Avenue,Midday,57919.399999999994
Potomac Avenue,PM Peak,40076.09999999999
Prince George's Plaza,AM Peak,143175.5
Prince George's Plaza,Evening,37203.70000000001
Prince George's Plaza,Late Night Peak,1078.1000000000001
Prince George's Plaza,Midday,77413.79999999999
Prince George's Plaza,PM Peak,70485.8
Reagan Washington National Airport,AM Peak,49736.69999999998
Reagan Washington National Airport,Evening,95877.2
Reagan Washington National Airport,Late Night Peak,1373.4
Reagan Washington National Airport,Midday,132469.7
Reagan Washington National Airport,PM Peak,123987.9
Rhode Island Avenue,AM Peak,156383.3
Rhode Island Avenue,Evening,30825.699999999997
