STATION,PERIOD,RIDERS_PER_WEEKDAY
Addison Road,AM Peak,1967.8
Addison Road,Evening,192.26666666666668
Addison Road,Late Night Peak,5.583333333333335
Addison Road,Midday,746.625
Addison Road,PM Peak,347.39166666666665
Anacostia,AM Peak,2893.3999999999996
Anacostia,Evening,526.525
Anacostia,Late Night Peak,15.674999999999999
Anacostia,Midday,1948.625
Anacostia,PM Peak,1773.4583333333333
Archives-Navy Memorial,AM Peak,370.5916666666667
Archives-Navy Memorial,Evening,1277.6916666666666
Archives-Navy Memorial,Late Night Peak,26.24166666666667
Archives-Navy Memorial,Midday,1514.2000000000005
Archives-Navy Memorial,PM Peak,5559.191666666666
Arlington Cemetery,AM Peak,16.333333333333332
Arlington Cemetery,Evening,107.07272727272725
Arlington Cemetery,Late Night Peak,0.75
Arlington Cemetery,Midday,671.5166666666667
Arlington Cemetery,PM Peak,519.95
Ballston,AM Peak,4422.241666666668
Ballston,Evening,1105.5833333333333
Ballston,Late Night Peak,31.133333333333336
Ballston,Midday,2078.925
Ballston,PM Peak,3778.6333333333328
Benning Road,AM Peak,1583.3166666666666
Benning Road,Evening,212.0583333333333
Benning Road,Late Night Peak,7.033333333333332
Benning Road,Midday,790.9499999999999
Benning Road,PM Peak,465.3999999999999
Bethesda,AM Peak,3168.5166666666664
Bethesda,Evening,1401.8500000000001
Bethesda,Late Night Peak,42.44166666666667
Bethesda,Midday,2011.233333333333
Bethesda,PM Peak,3826.1333333333337
Braddock Road,AM Peak,2604.8083333333334
Braddock Road,Evening,251.60833333333338
Braddock Road,Late Night Peak,6.2
Braddock Road,Midday,732.1666666666666
Braddock Road,PM Peak,902.0999999999999
Branch Avenue,AM Peak,4531.858333333334
Branch Avenue,Evening,233.54999999999998
Branch Avenue,Late Night Peak,3.9166666666666674
Branch Avenue,Midday,890.625
Branch Avenue,PM Peak,539.7833333333333
Brookland,AM Peak,2148.1583333333333
Brookland,Evening,684.0166666666668
Brookland,Late Night Peak,12.475
Brookland,Midday,1615.1166666666668
Brookland,PM Peak,2154.7999999999997
Capitol Heights,AM Peak,1184.7083333333333
Capitol Heights,Evening,124.13333333333334
Capitol Heights,Late Night Peak,4.766666666666667
Capitol Heights,Midday,459.9583333333333
Capitol Heights,PM Peak,236.975
Capitol South,AM Peak,872.3666666666664
Capitol South,Evening,986.8749999999999
Capitol South,Late Night Peak,11.258333333333333
Capitol South,Midday,1681.9499999999996
Capitol South,PM Peak,4199.833333333333
Cheverly,AM Peak,932.4166666666666
Cheverly,Evening,52.699999999999996
Cheverly,Late Night Peak,1.7166666666666666
Cheverly,Midday,263.7083333333333
Cheverly,PM Peak,164.38333333333335
Clarendon,AM Peak,1872.591666666667
Clarendon,Evening,763.9583333333334
Clarendon,Late Night Peak,115.66666666666664
Clarendon,Midday,803.7833333333333
Clarendon,PM Peak,1037.875
Cleveland Park,AM Peak,2150.1499999999996
Cleveland Park,Evening,468.1000000000001
Cleveland Park,Late Night Peak,16.625000000000004
Cleveland Park,Midday,962.0749999999998
Cleveland Park,PM Peak,741.5583333333334
College Park-U of MD,AM Peak,1851.5416666666667
College Park-U of MD,Evening,386.3333333333333
College Park-U of MD,Late Night Peak,10.791666666666666
College Park-U of MD,Midday,1001.3083333333334
College Park-U of MD,PM Peak,1193.3916666666667
Columbia Heights,AM Peak,4191.3
Columbia Heights,Evening,1777.2166666666665
Columbia Heights,Late Night Peak,80.425
Columbia Heights,Midday,2821.4999999999995
Columbia Heights,PM Peak,3404.324999999999
Congress Heights,AM Peak,1345.4
Congress Heights,Evening,181.48333333333335
Congress Heights,Late Night Peak,5.808333333333334
Congress Heights,Midday,659.6083333333332
Congress Heights,PM Peak,456.67499999999995
Court House,AM Peak,3323.7916666666674
Court House,Evening,657.0083333333332
Court House,Late Night Peak,23.266666666666666
Court House,Midday,1358.7833333333333
Court House,PM Peak,2146.9166666666665
Crystal City,AM Peak,3848.1000000000004
Crystal City,Evening,914.4916666666668
Crystal City,Late Night Peak,21.59166666666667
Crystal City,Midday,2536.9249999999997
Crystal City,PM Peak,4404.641666666667
Deanwood,AM Peak,837.8333333333331
Deanwood,Evening,114.60833333333333
Deanwood,Late Night Peak,4.166666666666667
Deanwood,Midday,384.53333333333336
Deanwood,PM Peak,249.10833333333335
Dunn Loring,AM Peak,2730.8833333333328
Dunn Loring,Evening,263.97499999999997
Dunn Loring,Late Night Peak,7.866666666666667
Dunn Loring,Midday,909.0166666666664
Dunn Loring,PM Peak,949.6416666666668
Dupont Circle,AM Peak,3860.441666666667
Dupont Circle,Evening,4154.783333333333
Dupont Circle,Late Night Peak,239.13333333333333
Dupont Circle,Midday,3982.683333333334
Dupont Circle,PM Peak,7862.083333333335
East Falls Church,AM Peak,2546.733333333333
East Falls Church,Evening,210.1583333333333
East Falls Church,Late Night Peak,5.241666666666667
East Falls Church,Midday,693.4833333333335
East Falls Church,PM Peak,615.7749999999999
Eastern Market,AM Peak,2099.1333333333337
Eastern Market,Evening,908.9583333333334
Eastern Market,Late Night Peak,38.26666666666666
Eastern Market,Midday,1332.7749999999999
Eastern Market,PM Peak,1519.4916666666666
Eisenhower Avenue,AM Peak,798.2333333333331
Eisenhower Avenue,Evening,139.34166666666667
Eisenhower Avenue,Late Night Peak,7.441666666666667
Eisenhower Avenue,Midday,359.92499999999995
Eisenhower Avenue,PM Peak,473.81666666666666
Farragut North,AM Peak,1223.6666666666667
Farragut North,Evening,4047.641666666666
Farragut North,Late Night Peak,89.31666666666666
Farragut North,Midday,3845.0500000000006
Farragut North,PM Peak,14947.533333333333
Farragut West,AM Peak,1412.5749999999998
Farragut West,Evening,3609.7583333333337
Farragut West,Late Night Peak,97.13333333333333
Farragut West,Midday,3451.625
Farragut West,PM Peak,13332.975
Federal Center SW,AM Peak,420.2166666666667
Federal Center SW,Evening,374.2999999999999
Federal Center SW,Late Night Peak,2.766666666666666
Federal Center SW,Midday,1000.6583333333334
Federal Center SW,PM Peak,3455.5
Federal Triangle,AM Peak,171.92499999999998
Federal Triangle,Evening,909.9000000000001
Federal Triangle,Late Night Peak,9.916666666666666
Federal Triangle,Midday,1452.4416666666666
